pair,min_centroid,min_footprint,t_centroid,t_footprint,ttc_accel_poly,ttc_cv_poly,ttc_accel_pt,clearance_overstatement,timing_lead
1512-2045,1.0201728017363967,0.41709518394374356,191.4553004152284,191.4553004152284,0.15000000000000002,,,0.6030776177926531,0.0
551-1802,2.994821332867816,1.8246315025707034,147.9813897643704,148.03141727950373,6.8999999999999835,,,1.1701898302971125,-0.05002751513333692
1252-1623,3.364597646894965,1.4220147575438489,292.66096352994145,292.2107158937416,,0.49999999999999994,,1.9425828893511161,0.4502476361998333
44-59,7.398901654329579,5.406605106372719,10.005503026664666,9.855420481264694,,,,1.99229654795686,0.15008254539997168
334-1390,2.6432592989065418,1.3679543206593294,87.69823402871579,87.59817899844914,1.850000000000001,3.7499999999999947,,1.2753049782472123,0.10005503026664542
1062-1092,3.9604765832896374,1.9134219229018754,254.28985942268247,254.28985942268247,3.1999999999999966,,,2.047054660387762,0.0
1081-1083,5.308781788251968,3.7360645246824213,256.8912902096153,256.44104257341536,,,,1.572717263569547,0.450247636199947
504-523,1.6587645951243581,0.0,135.074290859973,134.52398819350643,0.05,0.05,,1.6587645951243581,0.550302666466564
1227-1230,2.92286120394902,2.2611457743368852,288.6587623192756,288.8588723798089,,3.349999999999996,,0.6617154296121348,-0.20011006053329083
36-1296,0.025574755529204126,0.0,6.853769573265296,6.7036870278653256,0.05,0.05,,0.025574755529204126,0.1500825453999708
517-558,6.0034258895195505,4.395277586002223,143.17874831157135,142.47836309970484,1.850000000000001,,,1.6081483035173276,0.7003852118665179
37-59,8.122354916833714,6.460947099860668,10.005503026664666,10.155585572064636,,,,1.6614078169730462,-0.1500825453999699
1255-1628,7.2622780183146425,5.241345758248698,290.6098354094752,290.70989043974186,,,,2.020932260065944,-0.10005503026667384
673-1835,3.0365019094985946,0.0,159.3876632147681,159.18755315423482,0.05,0.05,,3.0365019094985946,0.20011006053329083
887-889,7.907611599224982,6.773317177507174,208.96493071189155,208.91490319675825,2.1000000000000005,,,1.134294421717808,0.0500275151333085
964-966,5.375811922086925,1.961529586345815,233.52844064235327,233.52844064235327,,,,3.4142823357411096,0.0
1207-1240,1.4264681467446085,0.786863245498512,287.1579368652759,287.10790935014256,,,,0.6396049012460965,0.0500275151333085
1448-1784,9.050811186287971,7.799897868561956,149.78238030917004,149.78238030917004,,,,1.250913317726015,0.0
494-540,7.908968839551892,5.391409261600643,136.77522637450596,136.77522637450596,,,,2.517559577951249,0.0
551-1807,1.0348714144144033,0.0,147.43108709790386,147.43108709790386,0.05,0.05,,1.0348714144144033,0.0
933-1908,8.403273915433443,6.315692883038437,219.2705988293561,219.2705988293561,,,,2.087581032395006,0.0
691-1463,4.751347942526722,3.3339338204962763,164.79063484916705,164.39041472810044,,2.1500000000000004,,1.4174141220304461,0.4002201210666101
727-1863,3.622818199204576,2.0000534427297225,172.74500975536543,173.0451748461654,,1.0500000000000003,,1.6227647564748535,-0.3001650907999647
540-1427,5.7448439323350415,5.1229361733956535,138.7763269798389,138.7763269798389,,7.099999999999983,,0.621907758939388,0.0
1003-1008,5.9173919022803325,2.999781349589753,236.580119065486,236.580119065486,,,,2.9176105526905793,0.0
584-1784,3.436542158317667,0.0,148.93191255190354,148.93191255190354,0.8500000000000002,4.899999999999991,,3.436542158317667,0.0
634-641,3.325293027590737,0.048625950305947185,153.88463655010256,153.9846915803692,1.1500000000000004,,,3.27666707728479,-0.10005503026664542
779-1874,8.212633970622075,6.206234363778467,183.7010355695633,183.75106308469657,,,,2.0063996068436083,-0.050027515133280076
1016-1561,5.269398884866875,4.233238894281044,239.73185251888532,238.5812196708189,,,,1.0361599905858307,1.150632848066408
1263-1269,1.4334711693201492,0.0,298.0639351643404,298.0639351643404,,,,1.4334711693201492,0.0
1102-1145,9.389195247760181,4.736694418115192,263.44489469208065,263.44489469208065,0.44999999999999996,,,4.652500829644989,0.0
1252-1628,4.694810250050465,2.9872697393433327,292.41082595427486,292.41082595427486,,3.599999999999995,,1.7075405107071324,0.0
344-1739,1.4575289286519584,0.7716634811081846,86.04732602931612,86.09735354444945,,,,0.6858654475437738,-0.05002751513332271
779-1528,9.982866899586218,7.423780919002596,186.6526589624293,186.6526589624293,1.2000000000000004,,,2.559085980583623,0.0
779-2043,9.037864194521658,6.874414758010282,183.7010355695633,183.8010905998299,,,,2.1634494365113763,-0.100055030266617
1227-1964,3.3690083479424593,2.387534479954514,289.7093401370754,289.3091200160088,0.8500000000000002,,,0.9814738679879453,0.40022012106658167
257-271,5.759788099269611,4.3650643546670835,65.13582470358698,65.13582470358698,,,,1.3947237446025271,0.0
503-523,3.332593233115582,2.6724380110116925,134.52398819350643,134.52398819350643,,,,0.6601552221038895,0.0
494-496,2.8744006473806047,0.6386093109202875,132.42283255790684,132.42283255790684,0.49999999999999994,,,2.2357913364603172,0.0
495-1768,2.4390901946841637,1.8416475181134473,134.17379558757315,134.17379558757315,0.15000000000000002,0.15000000000000002,,0.5974426765707164,0.0
1227-1963,1.7776194968032368,1.0028937846997081,284.4564510480764,284.4564510480764,,1.5000000000000007,,0.7747257121035287,0.0
