agent_a_id,agent_b_id,agent_a_class,agent_b_class,pair_type,outcome,NM,SDD,PEB_final,PET,TTC_min,TTC_poly_min,Max_CCI,Max_density_raw,ped_id,veh_id,veh_class,pattern
1202,3199,cyclist,pedestrian,ped_veh,agent_a_first,-0.2507,0.05,1.8659,3.2518,0.8416,0.3,0.15749,0.034429,1202,3199,pedestrian,Chaotic Negotiation
1206,2896,car,cyclist,cyc_veh,agent_a_first,1.3408,0.3002,1.1928,0.0,0.7924,,0.12703,0.011397,1206,2896,cyclist,Unclear Advantage
1206,3194,car,cyclist,cyc_veh,agent_b_first,4.3166,0.9505,1.2061,0.0,1.3371,,0.22309,0.020016,1206,3194,cyclist,Agent B Priority — Stable
1210,1213,pedestrian,lcv,ped_veh,agent_b_first,2.0344,0.5503,0.7213,0.0,1.0582,,0.00025,1.7e-05,1210,1213,lcv,Unclear Advantage
1213,1226,lcv,pedestrian,ped_veh,agent_a_first,-3.2701,0.05,4.8229,0.0,0.8838,0.6,0.02639,0.00177,1213,1226,pedestrian,Chaotic Negotiation
1213,2858,lcv,pedestrian,ped_veh,agent_a_first,1.8532,0.0,2.0504,0.3002,0.491,0.35,0.0636,0.004265,1213,2858,pedestrian,Chaotic Negotiation
1213,2893,lcv,pedestrian,ped_veh,agent_a_first,-1.734,0.7504,0.5358,0.0,0.6952,,6e-05,4e-06,1213,2893,pedestrian,Unclear Advantage
1213,2896,lcv,cyclist,cyc_veh,agent_a_first,-0.7328,3.5019,1.4961,0.2501,1.4452,1.75,0.00641,0.000409,1213,2896,cyclist,Unclear Advantage
1213,2909,lcv,pedestrian,ped_veh,agent_a_first,1.0785,1.3507,0.7862,0.1001,0.8483,0.7,0.1957,0.013125,1213,2909,pedestrian,Unclear Advantage
1213,3199,lcv,pedestrian,ped_veh,agent_a_first,13.6819,0.1001,6.8586,0.0,0.7007,0.25,0.32474,0.02178,1213,3199,pedestrian,Marginal Yield
1216,2838,cyclist,pedestrian,ped_veh,agent_a_first,3.0744,0.0,0.9282,0.0,1.0153,,0.03272,0.007153,1216,2838,pedestrian,Chaotic Negotiation
1216,2839,cyclist,pedestrian,ped_veh,agent_a_first,7.0825,0.9505,2.0874,0.0,0.7013,,0.00017,3.6e-05,1216,2839,pedestrian,Proactive Yielding
